business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2024-10-02,1430.0,1481.0,1415.3,42109,60774681.0,560,2,10,2,1,0,2024,2024-10,40,308.0,38336.0
2024-10-01,1479.0,1479.0,1370.0,39100,55689454.6,536,1,10,1,1,0,2024,2024-10,40,560.0,37924.333333333336
2024-09-30,1359.0,1359.0,1244.1,56454,74930193.3,484,30,9,0,1,0,2024,2024-09,40,536.0,45887.666666666664
2024-09-29,1268.9,1302.0,1245.0,34209,43173716.8,404,29,9,6,1,0,2024,2024-09,39,484.0,43254.333333333336
2024-09-26,1281.0,1350.0,1280.0,32472,42488169.8,393,26,9,3,1,0,2024,2024-09,39,404.0,41045.0
2024-09-25,1323.0,1367.0,1295.0,24019,32036086.6,340,25,9,2,0,0,2024,2024-09,39,393.0,30233.333333333332
2024-09-24,1305.0,1400.0,1300.1,36300,48659280.6,489,24,9,1,1,0,2024,2024-09,39,340.0,30930.333333333332
2024-09-23,1366.0,1420.0,1366.0,34290,47485098.7,466,23,9,0,1,0,2024,2024-09,39,489.0,31536.333333333332
2024-09-22,1418.9,1500.0,1398.1,43890,62808744.0,387,22,9,6,1,0,2024,2024-09,38,466.0,38160.0
2024-09-18,1415.0,1465.0,1400.0,30876,43855359.6,370,18,9,2,0,0,2024,2024-09,38,387.0,36352.0
2024-09-16,1418.0,1479.0,1418.0,48930,70632590.1,622,16,9,0,1,0,2024,2024-09,38,370.0,41232.0
2024-09-15,1479.9,1588.0,1455.5,117369,178517127.2,1448,15,9,6,1,0,2024,2024-09,37,622.0,65725.0
2024-09-12,1588.1,1610.0,1540.0,104658,166130336.1,1036,12,9,3,1,0,2024,2024-09,37,1448.0,90319.0
2024-09-11,1546.0,1586.0,1515.0,62051,96539360.4,688,11,9,2,1,0,2024,2024-09,37,1036.0,94692.66666666667
2024-09-10,1537.0,1619.0,1506.0,66539,103991732.0,899,10,9,1,1,0,2024,2024-09,37,688.0,77749.33333333333
2024-09-09,1565.0,1579.6,1429.0,156964,239272872.4,1825,9,9,0,1,1,2024,2024-09,37,899.0,95184.66666666667
2024-09-08,1436.0,1499.9,1400.0,53159,77809477.5,722,8,9,6,1,0,2024,2024-09,36,1825.0,92220.66666666667
2024-09-05,1400.2,1439.0,1386.7,45004,63165095.2,489,5,9,3,1,0,2024,2024-09,36,722.0,85042.33333333333
2024-09-04,1415.0,1505.0,1406.0,45284,65997980.6,516,4,9,2,1,0,2024,2024-09,36,489.0,47815.666666666664
2024-09-03,1484.0,1528.0,1475.0,43326,65013984.1,587,3,9,1,1,0,2024,2024-09,36,516.0,44538.0
2024-09-02,1499.0,1499.0,1400.0,49102,71020715.1,663,2,9,0,1,0,2024,2024-09,36,587.0,45904.0
2024-09-01,1390.0,1475.0,1380.1,52947,74780444.2,643,1,9,6,1,0,2024,2024-09,35,663.0,48458.333333333336
2024-08-29,1426.0,1485.1,1406.0,44339,63833349.0,737,29,8,3,1,0,2024,2024-08,35,643.0,48796.0
2024-08-28,1430.0,1510.0,1415.0,39240,57402491.9,647,28,8,2,1,0,2024,2024-08,35,737.0,45508.666666666664
2024-08-27,1451.2,1526.0,1450.5,62731,92818145.5,927,27,8,1,1,0,2024,2024-08,35,647.0,48770.0
2024-08-25,1501.1,1576.1,1501.0,68209,104477983.1,772,25,8,6,1,0,2024,2024-08,34,927.0,56726.666666666664
2024-08-22,1547.0,1623.0,1540.1,47548,75211467.6,738,22,8,3,1,0,2024,2024-08,34,772.0,59496.0
2024-08-21,1593.0,1630.0,1521.0,87193,139027487.4,1120,21,8,2,1,0,2024,2024-08,34,738.0,67650.0
2024-08-18,1542.0,1600.0,1533.9,65802,102820099.0,972,18,8,6,1,0,2024,2024-08,33,1120.0,66847.66666666667
2024-08-15,1593.2,1683.0,1590.0,94345,152594305.0,1061,15,8,3,1,0,2024,2024-08,33,972.0,82446.66666666667
2024-08-14,1650.0,1790.0,1629.0,121664,204864618.0,1383,14,8,2,1,0,2024,2024-08,33,1061.0,93937.0
2024-08-13,1657.0,1719.0,1510.0,128553,205683008.1,1616,13,8,1,1,0,2024,2024-08,33,1383.0,114854.0
2024-08-12,1564.0,1610.0,1563.1,75984,120047092.8,948,12,8,0,1,0,2024,2024-08,33,1616.0,108733.66666666667
2024-08-11,1578.0,1626.0,1570.0,90835,144960162.2,1138,11,8,6,1,0,2024,2024-08,32,948.0,98457.33333333333
2024-08-08,1570.0,1710.0,1563.1,127178,202655048.3,1506,8,8,3,1,0,2024,2024-08,32,1138.0,97999.0
